ID,Income,Kids,Teens,Age,Divorced,Married,Single,Together,Widow,Basic,Graduate,Master,PhD,State,Marital Status ,Consolidated Educational Level,
2242,190687,0,0,37,1,0,0,0,0,0,0,0,1,State-Other,Divorced,PhD,
2160,190638,0,0,29,0,0,1,0,0,0,0,1,0,State-Florida,Single,Master,
2548,190638,0,0,29,0,0,1,0,0,0,0,1,0,State-Other,Single,Master,
2783,190369,0,0,64,0,1,0,0,0,0,1,0,0,State-California,Married,Graduate,
1374,190300,0,0,41,0,0,0,1,0,0,1,0,0,State-Florida,Together,Graduate,
2697,190273,0,0,29,0,0,1,0,0,0,1,0,0,State-Texas,Single,Graduate,
1684,190247,0,0,32,0,0,1,0,0,0,0,1,0,State-Other,Single,Master,
2577,190226,0,0,64,0,1,0,0,0,0,0,1,0,State-Texas,Married,Master,
3136,190000,0,0,36,0,1,0,0,0,0,1,0,0,State-Other,Married,Graduate,
1710,189891,0,0,29,0,0,0,1,0,0,1,0,0,State-Florida,Together,Graduate,
1715,189694,1,1,47,1,0,0,0,0,0,1,0,0,State-California,Divorced,Graduate,
3158,189616,0,0,37,0,0,1,0,0,0,0,1,0,State-New York,Single,Master,
1440,189572,0,0,54,0,0,1,0,0,0,0,0,0,State-Florida,Single,Unknown,
1497,189120,0,0,61,0,0,0,1,0,0,0,1,0,State-Texas,Together,Master,
1101,189058,0,0,60,0,1,0,0,0,0,0,1,0,State-Texas,Married,Master,
2866,188420,0,0,31,0,0,0,1,0,0,0,1,0,State-Other,Together,Master,
2056,188347,0,0,59,0,0,0,1,0,0,1,0,0,State-Other,Together,Graduate,
3179,188325,0,0,39,0,0,0,1,0,0,1,0,0,State-California,Together,Graduate,
1063,188194,0,1,41,0,0,1,0,0,0,0,0,0,State-Illinois,Single,Unknown,
2314,188097,1,0,42,0,1,0,0,0,0,0,1,0,State-Other,Married,Master,
1543,187771,0,1,61,0,0,0,1,0,0,1,0,0,State-Illinois,Together,Graduate,
1805,187771,0,1,61,0,0,0,1,0,0,1,0,0,State-California,Together,Graduate,
2468,187679,0,0,32,0,0,0,1,0,0,1,0,0,State-New York,Together,Graduate,
1697,187305,0,0,60,1,0,0,0,0,0,0,0,0,State-California,Divorced,Unknown,
1096,187195,0,0,61,0,1,0,0,0,0,1,0,0,State-Other,Married,Graduate,
2496,187188,0,0,37,0,0,1,0,0,0,0,0,1,State-Florida,Single,PhD,
2057,187171,0,0,39,0,1,0,0,0,0,0,0,1,State-California,Married,PhD,
3055,187000,0,0,28,0,1,0,0,0,0,0,0,0,State-Illinois,Married,Unknown,
2862,186979,0,0,49,1,0,0,0,0,0,0,0,1,State-Florida,Divorced,PhD,
1668,186857,0,0,48,0,0,1,0,0,0,0,0,1,State-Florida,Single,PhD,
1865,186857,0,0,48,0,0,1,0,0,0,0,0,1,State-California,Single,PhD,
2820,186836,0,0,45,0,1,0,0,0,0,0,0,1,State-Florida,Married,PhD,
1186,186718,0,0,66,0,1,0,0,0,0,1,0,0,State-Other,Married,Graduate,
2646,186610,0,0,69,0,0,0,1,0,0,1,0,0,State-Florida,Together,Graduate,
2672,186580,0,0,37,0,1,0,0,0,0,0,0,1,State-New York,Married,PhD,
1887,186429,0,0,59,0,0,1,0,0,0,1,0,0,State-Texas,Single,Graduate,
1859,186424,0,0,64,0,0,1,0,0,0,0,1,0,State-California,Single,Master,
2107,186358,1,1,54,0,0,1,0,0,0,1,0,0,State-Illinois,Single,Graduate,
1132,186111,0,0,58,0,1,0,0,0,0,1,0,0,State-Other,Married,Graduate,
1105,186037,0,0,29,0,0,1,0,0,0,1,0,0,State-Illinois,Single,Graduate,
2071,185844,0,0,47,0,1,0,0,0,0,0,0,1,State-Illinois,Married,PhD,
2944,185738,0,0,42,0,0,0,1,0,0,0,1,0,State-Other,Together,Master,
1840,185710,0,0,31,0,1,0,0,0,0,0,0,0,State-Other,Married,Unknown,
2118,185696,0,0,58,1,0,0,0,0,0,0,0,1,State-Florida,Divorced,PhD,
2329,185696,0,0,58,1,0,0,0,0,0,0,0,1,State-Illinois,Divorced,PhD,
1094,185693,0,1,41,0,0,0,1,0,0,1,0,0,State-New York,Together,Graduate,
1971,185683,0,0,66,1,0,0,0,0,0,1,0,0,State-Texas,Divorced,Graduate,
1530,185620,0,0,56,0,0,0,0,1,0,1,0,0,State-Florida,Widowed,Graduate,
2114,185606,0,1,44,0,0,0,1,0,0,1,0,0,State-New York,Together,Graduate,
2250,185485,0,0,62,0,0,1,0,0,0,0,0,0,State-Florida,Single,Unknown,
2748,185431,0,0,68,0,0,0,1,0,0,0,0,1,State-Florida,Together,PhD,
1886,185072,0,0,43,0,0,1,0,0,0,1,0,0,State-New York,Single,Graduate,
2816,184953,0,0,67,0,0,0,0,1,0,0,1,0,State-New York,Widowed,Master,
2218,184906,0,0,48,0,0,0,1,0,0,1,0,0,State-Other,Together,Graduate,
3094,184906,0,0,48,0,0,0,1,0,0,1,0,0,State-Other,Together,Graduate,
1414,184865,0,0,59,0,0,1,0,0,0,0,0,1,State-Other,Single,PhD,
1331,184835,0,0,50,1,0,0,0,0,0,1,0,0,State-California,Divorced,Graduate,
1028,184618,0,0,55,0,1,0,0,0,0,0,0,1,State-New York,Married,PhD,
2187,184618,0,0,55,0,1,0,0,0,0,0,0,1,State-Texas,Married,PhD,
1619,184574,0,0,68,0,0,1,0,0,0,1,0,0,State-California,Single,Graduate,
2068,184460,0,0,62,0,0,0,1,0,0,0,0,1,State-Other,Together,PhD,
1951,184219,0,0,32,0,1,0,0,0,0,1,0,0,State-Illinois,Married,Graduate,
2486,184219,0,0,32,0,1,0,0,0,0,1,0,0,State-New York,Married,Graduate,
1609,184196,0,1,45,0,0,1,0,0,0,1,0,0,State-Illinois,Single,Graduate,
1527,184169,0,0,38,0,1,0,0,0,0,0,0,1,State-Texas,Married,PhD,
1898,184169,0,0,38,0,1,0,0,0,0,0,0,1,State-New York,Married,PhD,
3155,184117,0,0,64,0,1,0,0,0,0,0,0,1,State-California,Married,PhD,
1617,183917,0,0,47,0,0,1,0,0,0,1,0,0,State-Texas,Single,Graduate,
2922,183891,0,1,46,0,1,0,0,0,0,0,1,0,State-Florida,Married,Master,
1726,183844,0,0,68,0,0,0,1,0,0,1,0,0,State-Other,Together,Graduate,
1988,183844,0,0,68,0,0,0,1,0,0,1,0,0,State-New York,Together,Graduate,
2443,183844,0,0,68,0,0,0,1,0,0,1,0,0,State-Illinois,Together,Graduate,
1165,183837,0,0,72,0,1,0,0,0,0,0,0,1,State-Illinois,Married,PhD,
2081,183829,0,0,45,1,0,0,0,0,0,1,0,0,State-California,Divorced,Graduate,
2246,183829,0,0,45,1,0,0,0,0,0,1,0,0,State-New York,Divorced,Graduate,
1205,183790,0,0,72,0,1,0,0,0,0,0,1,0,State-California,Married,Master,
1956,183715,0,0,58,0,1,0,0,0,0,1,0,0,State-Florida,Married,Graduate,
1373,183664,1,1,52,1,0,0,0,0,0,0,0,1,State-California,Divorced,PhD,
2047,183528,0,0,28,0,0,1,0,0,0,1,0,0,State-Illinois,Single,Graduate,
2685,183512,0,0,34,0,1,0,0,0,0,1,0,0,State-Texas,Married,Graduate,
1731,183443,0,0,48,0,0,0,1,0,0,0,0,1,State-Texas,Together,PhD,
3016,183273,1,2,50,0,0,1,0,0,0,1,0,0,State-Other,Single,Graduate,
2825,183257,0,0,25,0,0,1,0,0,0,0,0,0,State-California,Single,Unknown,
1468,183151,0,0,60,0,0,0,1,0,0,0,1,0,State-Other,Together,Master,
2269,183151,0,0,48,0,1,0,0,0,0,0,1,0,State-Illinois,Married,Master,
2134,183145,0,0,46,0,0,0,1,0,0,1,0,0,State-Other,Together,Graduate,
1905,183033,1,0,34,0,0,0,1,0,0,1,0,0,State-Texas,Together,Graduate,
1323,183003,0,0,55,0,0,0,1,0,0,1,0,0,State-Texas,Together,Graduate,
1015,182800,0,0,74,0,0,1,0,0,0,0,0,1,State-Illinois,Single,PhD,
2546,182800,0,0,74,0,0,1,0,0,0,0,0,1,State-New York,Single,PhD,
2829,182733,0,0,36,0,0,1,0,0,0,0,0,1,State-Texas,Single,PhD,
1784,182716,0,0,76,0,0,1,0,0,0,0,0,1,State-New York,Single,PhD,
2420,182657,0,0,74,0,0,0,1,0,0,1,0,0,State-New York,Together,Graduate,
1329,182623,0,0,68,1,0,0,0,0,0,1,0,0,State-Texas,Divorced,Graduate,
1407,182584,0,0,46,0,1,0,0,0,0,0,1,0,State-Texas,Married,Master,
1050,182582,0,0,43,1,0,0,0,0,0,1,0,0,State-Florida,Divorced,Graduate,
1957,182576,0,0,61,0,0,0,1,0,0,0,1,0,State-Illinois,Together,Master,
2698,182571,0,0,58,0,0,0,0,1,0,0,0,1,State-Other,Widowed,PhD,
1825,182504,0,0,60,0,1,0,0,0,0,0,0,0,State-Illinois,Married,Unknown,
1279,182497,0,0,40,0,1,0,0,0,0,1,0,0,State-Illinois,Married,Graduate,
2558,182460,0,0,70,1,0,0,0,0,0,1,0,0,State-New York,Divorced,Graduate,
2708,182427,0,0,54,0,0,0,1,0,0,1,0,0,State-New York,Together,Graduate,
1052,182384,0,0,65,0,0,0,1,0,0,0,1,0,State-New York,Together,Master,
1833,182347,0,0,63,0,1,0,0,0,0,0,0,0,State-Texas,Married,Unknown,
3161,182347,0,0,63,0,1,0,0,0,0,0,0,0,State-California,Married,Unknown,
3096,182333,0,0,34,0,1,0,0,0,0,0,0,1,State-Florida,Married,PhD,
3078,182332,0,0,59,0,0,1,0,0,0,1,0,0,State-Florida,Single,Graduate,
2844,182326,0,0,43,0,0,0,1,0,0,0,0,0,State-Florida,Together,Unknown,
1725,182224,0,0,56,0,1,0,0,0,0,1,0,0,State-Texas,Married,Graduate,
1967,182170,0,0,42,0,1,0,0,0,0,0,0,1,State-California,Married,PhD,
2767,182122,0,0,58,0,0,0,1,0,0,0,0,0,State-Illinois,Together,Unknown,
1866,182072,0,0,50,0,0,0,1,0,0,0,0,1,State-Florida,Together,PhD,
2502,182032,0,0,72,0,0,0,0,1,0,0,0,1,State-Florida,Widowed,PhD,
3185,182032,0,0,72,0,0,0,0,1,0,0,0,1,State-California,Widowed,PhD,
1923,182025,0,0,37,1,0,0,0,0,0,1,0,0,State-Texas,Divorced,Graduate,
1772,182017,0,0,63,0,1,0,0,0,0,0,0,1,State-New York,Married,PhD,
2627,182014,0,0,59,0,0,1,0,0,0,1,0,0,State-California,Single,Graduate,
1219,181975,0,1,58,1,0,0,0,0,0,0,0,0,State-Illinois,Divorced,Unknown,
3067,181929,1,0,44,0,1,0,0,0,0,0,1,0,State-Illinois,Married,Master,
2300,181843,0,0,60,0,1,0,0,0,0,0,1,0,State-New York,Married,Master,
2720,181795,0,0,68,0,1,0,0,0,0,1,0,0,State-New York,Married,Graduate,
1545,181741,0,0,40,0,0,1,0,0,0,1,0,0,State-Texas,Single,Graduate,
1818,181702,0,0,40,1,0,0,0,0,0,1,0,0,State-Florida,Divorced,Graduate,
1538,181698,0,0,71,0,1,0,0,0,0,0,1,0,State-New York,Married,Master,
2092,181698,0,0,37,0,0,1,0,0,0,0,0,0,State-Other,Single,Unknown,
2150,181657,0,0,51,0,0,1,0,0,0,1,0,0,State-New York,Single,Graduate,
2553,181574,0,0,73,0,0,0,1,0,0,0,0,1,State-Texas,Together,PhD,
3144,181380,0,0,53,1,0,0,0,0,0,0,1,0,State-Florida,Divorced,Master,
1079,181361,0,0,33,1,0,0,0,0,0,1,0,0,State-California,Divorced,Graduate,
2560,181361,0,0,33,1,0,0,0,0,0,1,0,0,State-Other,Divorced,Graduate,
1881,181320,0,0,62,0,1,0,0,0,0,1,0,0,State-Texas,Married,Graduate,
1658,181300,0,1,57,0,1,0,0,0,0,0,0,1,State-New York,Married,PhD,
1431,181246,0,0,56,0,0,1,0,0,0,1,0,0,State-Texas,Single,Graduate,
1491,181217,0,0,31,0,0,1,0,0,0,1,0,0,State-Texas,Single,Graduate,
2664,181217,0,0,31,0,0,1,0,0,0,1,0,0,State-Florida,Single,Graduate,
1826,181205,0,0,50,0,0,0,1,0,0,1,0,0,State-New York,Together,Graduate,
1499,181169,0,0,45,0,0,1,0,0,0,0,1,0,State-California,Single,Master,
1593,181168,0,0,55,0,1,0,0,0,0,1,0,0,State-Texas,Married,Graduate,
2287,181051,0,0,55,0,1,0,0,0,0,0,0,1,State-Illinois,Married,PhD,
3024,181044,0,0,73,0,1,0,0,0,0,0,0,0,State-Florida,Married,Unknown,
1809,180995,0,1,62,0,0,0,0,1,0,0,0,1,State-Texas,Widowed,PhD,
2899,180982,1,1,61,0,0,1,0,0,0,1,0,0,State-Illinois,Single,Graduate,
1734,180952,0,0,51,0,1,0,0,0,0,1,0,0,State-Florida,Married,Graduate,
1292,180950,0,0,59,0,1,0,0,0,0,0,1,0,State-New York,Married,Master,
2078,180910,0,0,34,0,0,1,0,0,0,0,0,0,State-New York,Single,Unknown,
2927,180872,0,0,69,0,0,1,0,0,0,1,0,0,State-California,Single,Graduate,
1856,180812,0,0,67,0,0,0,1,0,0,1,0,0,State-New York,Together,Graduate,
1965,180763,0,0,70,0,1,0,0,0,0,1,0,0,State-Texas,Married,Graduate,
2803,180739,0,0,62,0,1,0,0,0,0,0,1,0,State-Illinois,Married,Master,
2338,180695,0,0,57,0,0,1,0,0,0,1,0,0,State-Other,Single,Graduate,
2144,180685,0,0,26,0,0,0,1,0,0,1,0,0,State-New York,Together,Graduate,
3181,180617,0,0,25,0,0,1,0,0,0,0,0,0,State-Illinois,Single,Unknown,
2389,180589,0,0,76,0,1,0,0,0,0,1,0,0,State-Illinois,Married,Graduate,
1955,180573,0,0,49,0,0,0,1,0,0,0,1,0,State-California,Together,Master,
2887,180573,0,0,49,0,0,0,1,0,0,0,1,0,State-Illinois,Together,Master,
1164,180427,0,1,45,0,1,0,0,0,0,0,0,1,State-Florida,Married,PhD,
2688,180398,0,0,54,0,1,0,0,0,0,1,0,0,State-Florida,Married,Graduate,
1707,180395,0,0,65,0,1,0,0,0,0,1,0,0,State-Texas,Married,Graduate,
2724,180360,0,0,71,0,1,0,0,0,0,0,0,1,State-Florida,Married,PhD,
2811,180336,0,0,50,0,1,0,0,0,0,0,0,1,State-Texas,Married,PhD,
1149,180317,0,0,65,0,0,1,0,0,0,1,0,0,State-Texas,Single,Graduate,
1503,180184,0,0,76,0,1,0,0,0,0,0,1,0,State-Texas,Married,Master,
3065,180144,0,0,45,0,0,0,1,0,0,1,0,0,State-California,Together,Graduate,
2647,180141,0,0,34,0,1,0,0,0,0,0,1,0,State-Illinois,Married,Master,
1233,180134,1,0,48,0,1,0,0,0,0,1,0,0,State-Texas,Married,Graduate,
2387,180134,1,0,48,0,1,0,0,0,0,1,0,0,State-California,Married,Graduate,
1401,180134,0,0,26,0,0,0,1,0,0,1,0,0,State-Texas,Together,Graduate,
1253,180124,0,0,57,0,1,0,0,0,0,1,0,0,State-California,Married,Graduate,
1447,180124,0,0,57,0,1,0,0,0,0,1,0,0,State-Illinois,Married,Graduate,
1185,180067,0,0,66,0,1,0,0,0,0,1,0,0,State-Texas,Married,Graduate,
1039,180011,0,1,40,0,1,0,0,0,0,1,0,0,State-Illinois,Married,Graduate,
1275,179946,0,0,54,0,0,0,0,1,0,1,0,0,State-Texas,Widowed,Graduate,
1043,179941,0,0,44,0,0,1,0,0,0,1,0,0,State-California,Single,Graduate,
1216,179930,0,0,48,0,1,0,0,0,0,0,0,1,State-Other,Married,PhD,
1541,179908,0,0,38,0,1,0,0,0,0,1,0,0,State-California,Married,Graduate,
2539,179865,0,1,66,1,0,0,0,0,0,1,0,0,State-Illinois,Divorced,Graduate,
3056,179823,0,1,61,0,1,0,0,0,0,1,0,0,State-New York,Married,Graduate,
2077,179803,0,1,62,1,0,0,0,0,0,1,0,0,State-Illinois,Divorced,Graduate,
1570,179800,0,0,65,0,0,0,0,1,0,1,0,0,State-Other,Widowed,Graduate,
1225,179761,0,1,62,0,0,1,0,0,0,0,0,1,State-Illinois,Single,PhD,
2787,179734,0,0,51,0,1,0,0,0,0,0,1,0,State-Texas,Married,Master,
1969,179689,0,0,44,0,0,1,0,0,0,0,0,0,State-Illinois,Single,Unknown,
1911,179632,0,0,46,0,0,0,1,0,0,0,0,1,State-Texas,Together,PhD,
1118,179607,0,0,36,0,0,1,0,0,0,1,0,0,State-New York,Single,Graduate,
1083,179593,0,0,47,0,1,0,0,0,0,1,0,0,State-Texas,Married,Graduate,
2015,179593,0,0,47,0,1,0,0,0,0,1,0,0,State-California,Married,Graduate,
1350,179530,0,0,60,0,1,0,0,0,0,1,0,0,State-Florida,Married,Graduate,
2489,179529,0,0,34,0,1,0,0,0,0,1,0,0,State-California,Married,Graduate,
2063,179456,0,0,64,0,1,0,0,0,0,1,0,0,State-California,Married,Graduate,
2462,179419,0,0,50,0,0,0,1,0,0,0,1,0,State-New York,Together,Master,
2139,179410,0,0,59,0,1,0,0,0,0,1,0,0,State-Texas,Married,Graduate,
3062,179244,0,0,27,0,0,1,0,0,0,1,0,0,State-New York,Single,Graduate,
2971,179205,0,0,45,0,1,0,0,0,0,1,0,0,State-Illinois,Married,Graduate,
3143,179174,0,0,45,0,1,0,0,0,0,0,0,1,State-California,Married,PhD,
1742,179146,1,1,53,0,0,1,0,0,0,1,0,0,State-New York,Single,Graduate,
2711,179146,1,1,53,0,0,1,0,0,0,1,0,0,State-California,Single,Graduate,
1048,179143,0,0,56,0,1,0,0,0,0,0,1,0,State-Other,Married,Master,
1474,178952,0,1,62,0,0,0,1,0,0,0,0,1,State-Other,Together,PhD,
1752,178939,0,0,69,0,1,0,0,0,0,0,0,1,State-Florida,Married,PhD,
2484,178931,0,0,49,0,1,0,0,0,0,0,0,1,State-Florida,Married,PhD,
1681,178901,0,1,47,1,0,0,0,0,0,1,0,0,State-Illinois,Divorced,Graduate,
1469,178825,0,0,56,1,0,0,0,0,0,0,0,1,State-California,Divorced,PhD,
2661,178789,0,0,40,1,0,0,0,0,0,0,1,0,State-Texas,Divorced,Master,
1631,178710,0,1,43,0,1,0,0,0,0,0,1,0,State-California,Married,Master,
2261,178687,0,0,37,0,0,0,1,0,0,1,0,0,State-California,Together,Graduate,
1481,178642,0,1,49,0,0,0,1,0,0,0,0,1,State-California,Together,PhD,
1344,178618,0,0,63,0,1,0,0,0,0,1,0,0,State-Florida,Married,Graduate,
2171,178579,0,0,50,1,0,0,0,0,0,0,1,0,State-California,Divorced,Master,
2279,178569,0,0,74,0,1,0,0,0,0,1,0,0,State-California,Married,Graduate,
3113,178499,0,0,63,0,0,1,0,0,0,1,0,0,State-California,Single,Graduate,
1090,178497,0,0,69,0,1,0,0,0,0,0,0,0,State-Other,Married,Unknown,
1168,178497,0,0,69,0,1,0,0,0,0,0,0,0,State-Other,Married,Unknown,
1680,178468,0,0,60,0,0,0,1,0,0,1,0,0,State-Florida,Together,Graduate,
2419,178427,0,0,72,0,0,0,0,1,0,0,1,0,State-Illinois,Widowed,Master,
1891,178420,0,0,54,0,0,1,0,0,0,0,0,1,State-Illinois,Single,PhD,
2775,178416,0,1,44,0,0,0,1,0,0,1,0,0,State-Texas,Together,Graduate,
2802,178394,0,0,34,0,0,0,1,0,0,1,0,0,State-Florida,Together,Graduate,
1806,178353,0,1,61,1,0,0,0,0,0,0,0,0,State-Florida,Divorced,Unknown,
1878,178331,0,1,62,1,0,0,0,0,0,1,0,0,State-Florida,Divorced,Graduate,
1743,178285,0,0,32,0,1,0,0,0,0,0,1,0,State-Texas,Married,Master,
3072,178128,0,1,46,0,1,0,0,0,0,0,0,1,State-Florida,Married,PhD,
2557,178093,0,0,73,0,0,0,1,0,0,0,1,0,State-Illinois,Together,Master,
2179,178075,0,0,48,0,1,0,0,0,0,0,0,1,State-Illinois,Married,PhD,
2422,178041,0,0,49,0,1,0,0,0,0,0,0,0,State-Other,Married,Unknown,
1981,178028,0,1,64,0,0,0,0,1,0,0,0,1,State-Illinois,Widowed,PhD,
2734,177981,1,0,48,0,1,0,0,0,0,1,0,0,State-Other,Married,Graduate,
1199,177972,0,0,66,0,0,0,1,0,0,1,0,0,State-California,Together,Graduate,
1264,177882,0,0,39,0,0,0,1,0,0,0,1,0,State-Other,Together,Master,
2888,177870,0,1,53,0,1,0,0,0,0,1,0,0,State-New York,Married,Graduate,
1510,177863,0,0,62,0,0,0,1,0,0,0,0,1,State-Other,Together,PhD,
1669,177845,0,0,31,0,0,0,1,0,0,0,0,1,State-Illinois,Together,PhD,
2233,177766,0,1,53,0,1,0,0,0,0,0,0,1,State-Illinois,Married,PhD,
2644,177766,0,1,53,0,1,0,0,0,0,0,0,1,State-Other,Married,PhD,
1627,177632,0,0,73,0,0,0,1,0,0,0,1,0,State-Illinois,Together,Master,
1210,177622,0,2,50,0,0,0,1,0,0,0,0,1,State-Other,Together,PhD,
3040,177610,0,1,68,0,1,0,0,0,0,0,0,1,State-Other,Married,PhD,
2898,177598,0,0,77,0,0,1,0,0,0,0,1,0,State-Florida,Single,Master,
1907,177583,0,0,42,0,1,0,0,0,0,1,0,0,State-California,Married,Graduate,
1991,177568,0,1,41,0,0,0,1,0,0,1,0,0,State-California,Together,Graduate,
2686,177520,0,1,61,0,1,0,0,0,0,0,1,0,State-Other,Married,Master,
1294,177457,0,0,73,0,0,1,0,0,0,1,0,0,State-Other,Single,Graduate,
2712,177437,0,0,57,0,1,0,0,0,0,1,0,0,State-Florida,Married,Graduate,
2302,177382,0,1,52,0,0,0,1,0,0,1,0,0,State-Other,Together,Graduate,
1120,177376,1,1,64,0,0,0,1,0,0,0,0,1,State-Other,Together,PhD,
1655,177353,0,1,40,0,1,0,0,0,0,1,0,0,State-California,Married,Graduate,
2427,177343,0,0,55,0,1,0,0,0,0,1,0,0,State-Texas,Married,Graduate,
1102,177298,0,1,41,0,0,0,1,0,0,1,0,0,State-Other,Together,Graduate,
2764,177298,0,1,41,0,0,0,1,0,0,1,0,0,State-Other,Together,Graduate,
2203,177297,0,0,63,1,0,0,0,0,0,0,0,0,State-Illinois,Divorced,Unknown,
2942,177226,0,1,57,0,0,0,1,0,0,1,0,0,State-New York,Together,Graduate,
2149,177142,0,0,72,0,1,0,0,0,0,1,0,0,State-Illinois,Married,Graduate,
2193,177044,0,1,48,0,0,0,1,0,0,1,0,0,State-Texas,Together,Graduate,
2028,177037,0,1,60,0,1,0,0,0,0,0,0,1,State-Florida,Married,PhD,
2998,177027,0,1,68,0,1,0,0,0,0,0,1,0,State-Other,Married,Master,
2464,176998,0,1,65,0,1,0,0,0,0,1,0,0,State-Other,Married,Graduate,
1018,176995,0,1,71,0,1,0,0,0,0,0,1,0,State-Other,Married,Master,
1521,176982,0,0,53,1,0,0,0,0,0,1,0,0,State-Texas,Divorced,Graduate,
2930,176842,0,0,70,0,0,0,0,1,0,0,0,1,State-New York,Widowed,PhD,
2527,176800,0,0,55,0,1,0,0,0,0,0,0,0,State-Illinois,Married,Unknown,
2091,176773,0,0,66,1,0,0,0,0,0,1,0,0,State-Texas,Divorced,Graduate,
2240,176653,0,0,51,0,0,0,1,0,0,1,0,0,State-New York,Together,Graduate,
1873,176630,0,0,37,0,1,0,0,0,0,1,0,0,State-Illinois,Married,Graduate,
2223,176624,0,1,58,0,0,1,0,0,0,1,0,0,State-Texas,Single,Graduate,
1696,176618,0,0,45,0,1,0,0,0,0,0,0,1,State-Other,Married,PhD,
2330,176542,0,0,64,0,0,0,1,0,0,0,0,1,State-New York,Together,PhD,
2863,176532,1,1,45,0,0,0,1,0,0,1,0,0,State-Illinois,Together,Graduate,
3023,176467,1,0,50,0,0,1,0,0,0,1,0,0,State-California,Single,Graduate,
2574,176445,1,0,49,0,1,0,0,0,0,1,0,0,State-Florida,Married,Graduate,
1801,176412,0,0,40,0,0,1,0,0,0,0,0,1,State-Illinois,Single,PhD,
3027,176320,0,1,61,0,0,0,0,1,0,1,0,0,State-Texas,Widowed,Graduate,
3154,176234,0,1,48,0,1,0,0,0,0,0,1,0,State-Other,Married,Master,
1624,176140,0,0,72,0,0,0,1,0,0,0,0,1,State-Other,Together,PhD,
2024,176081,0,0,58,0,0,0,1,0,0,1,0,0,State-New York,Together,Graduate,
2529,176081,0,0,58,0,0,0,1,0,0,1,0,0,State-Texas,Together,Graduate,
3068,176068,0,1,45,0,1,0,0,0,0,1,0,0,State-New York,Married,Graduate,
2086,176045,0,0,60,0,0,1,0,0,0,0,0,1,State-Other,Single,PhD,
